,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,star
20231106,25,14,13,30,10,35,5
20231109,32,16,31,19,14,37,2
20231113,39,33,1,6,25,26,2
20231116,13,11,18,5,27,25,5
20231120,6,13,25,26,18,32,3
20231123,35,15,22,4,23,28,4
20231127,2,18,33,23,29,35,4
20231130,14,36,27,37,15,2,5
20231204,12,24,32,29,8,30,5
20231207,10,38,5,1,32,3,5
20231211,28,18,21,30,32,11,1
20231214,9,3,27,33,8,22,1
20231218,16,21,2,35,40,33,5
20231221,29,17,23,15,26,3,4
20231225,12,22,17,21,3,13,1
20231228,15,11,5,39,21,24,5
20240101,5,28,2,18,39,24,4
20240104,29,15,21,30,22,39,1
20240108,25,19,26,40,13,33,1
20240111,31,7,38,5,24,29,2
20240115,35,2,33,6,23,19,5
20240118,8,40,30,16,23,19,5
20240122,31,25,34,8,16,29,2
20240125,22,26,27,3,1,2,1
20240129,29,25,27,2,8,38,3
20240201,15,12,35,6,33,28,3
20240205,9,25,20,5,40,21,4
20240208,40,2,26,19,22,36,4
20240212,9,3,16,10,4,6,1
20240215,16,21,3,14,8,5,1
20240219,37,7,40,20,38,25,4
20240222,2,20,24,10,8,39,4
20240226,2,15,19,23,40,37,2
20240229,38,31,11,21,10,40,1
20240304,25,1,10,35,23,29,1
20240307,23,15,13,31,39,35,1
20240311,22,7,39,37,2,14,1
20240314,3,20,27,13,35,12,2
20240318,39,8,19,18,6,24,3
20240321,27,3,33,37,8,30,2
20240325,15,12,27,3,20,25,3
20240328,13,37,1,7,18,9,3
20240401,26,15,38,10,18,3,4
20240404,31,10,20,14,9,12,5
20240408,36,39,28,3,24,13,4
20240411,17,35,37,19,22,30,1
20240415,33,17,13,2,26,37,5
20240418,13,28,18,4,30,16,2
20240422,23,39,24,31,32,6,1
20240425,24,23,25,19,16,2,1
20240429,40,36,29,23,1,17,3
20240502,10,30,16,26,17,4,1
20240506,27,32,17,39,7,26,3
20240509,13,14,6,7,33,24,1
20240513,23,24,20,37,9,39,1
20240516,18,23,14,8,24,9,3
20240520,21,14,3,15,29,23,4
20240523,8,14,7,31,23,13,1
20240527,23,15,7,2,24,14,3
20240530,17,11,4,39,24,10,5
20240603,22,1,38,3,11,34,4
20240606,31,28,15,29,24,12,1
20240610,27,33,31,4,40,7,3
20240613,27,22,21,23,19,17,1
20240617,14,16,32,22,19,23,4
20240620,19,2,7,1,21,13,5
20240624,23,30,5,13,16,20,5
20240627,13,37,18,27,9,15,2
20240701,12,38,4,8,20,11,2
20240704,27,4,23,8,33,22,3
20240708,13,40,36,21,3,26,3
20240711,20,5,30,24,19,28,4
20240715,21,23,40,28,15,19,3
20240718,22,28,38,40,8,31,1
20240722,21,18,3,24,19,12,4
20240725,27,30,3,18,37,16,4
20240729,1,19,5,25,9,22,3
20240801,6,1,27,23,34,33,5
20240805,10,16,38,31,3,13,5
20240808,17,8,2,9,22,21,2
20240812,25,13,10,28,22,19,2
20240815,34,6,40,38,14,20,3
20240819,14,33,6,11,17,28,5
20240822,1,26,28,11,40,16,5
20240826,12,32,30,8,5,6,5
20240829,3,22,24,36,4,14,4
20240902,3,33,36,20,24,27,3
20240905,19,24,31,40,32,8,2
20240909,6,27,18,3,22,9,3
20240912,27,31,39,16,38,34,1
20240916,28,18,32,21,31,12,1
20240919,3,25,30,27,35,1,3
20240923,9,13,11,32,34,31,5
20240926,9,31,39,32,21,19,2
20240930,14,28,5,21,15,24,3
20241003,6,38,24,14,40,3,5
20241007,24,34,40,4,14,28,4
